"","SurveyID","ProjectID","LocationName","Date","Collectors","Longitude","Latitude","SurveyTypeID","Plot.Name","SpeciesVarietalCode","SpeciesVarietalName","Measurement","CanopyID","Woody_DBH_cm","Woody_Height_m","ProjCode","Genus"
"379",26,"Cosumnes River Preserve","Tall Forest","7/24/2012","Liz, Hayawen, Melissa, Jackie, Mehrey",-121.41,38.27,"Plant","CRP04","ACNE","Acer negundo",12,"",10.6,9.2,"COSRP","Acer"
"380",26,"Cosumnes River Preserve","Tall Forest","7/24/2012","Liz, Hayawen, Melissa, Jackie, Mehrey",-121.41,38.27,"Plant","CRP04","ACNE","Acer negundo",13,"",13.5,9.2,"COSRP","Acer"
"381",26,"Cosumnes River Preserve","Tall Forest","7/24/2012","Liz, Hayawen, Melissa, Jackie, Mehrey",-121.41,38.27,"Plant","CRP04","ACNE","Acer negundo",14,"",10,9.2,"COSRP","Acer"
"382",26,"Cosumnes River Preserve","Tall Forest","7/24/2012","Liz, Hayawen, Melissa, Jackie, Mehrey",-121.41,38.27,"Plant","CRP04","ACNE","Acer negundo",15,"",18.1,9.2,"COSRP","Acer"
"383",26,"Cosumnes River Preserve","Tall Forest","7/24/2012","Liz, Hayawen, Melissa, Jackie, Mehrey",-121.41,38.27,"Plant","CRP04","ACNE","Acer negundo",16,"",15.4,9.2,"COSRP","Acer"
"384",26,"Cosumnes River Preserve","Tall Forest","7/24/2012","Liz, Hayawen, Melissa, Jackie, Mehrey",-121.41,38.27,"Plant","CRP04","ACNE","Acer negundo",17,"",20,11.2,"COSRP","Acer"
"385",26,"Cosumnes River Preserve","Tall Forest","7/24/2012","Liz, Hayawen, Melissa, Jackie, Mehrey",-121.41,38.27,"Plant","CRP04","ACNE","Acer negundo",18,"",13,9.2,"COSRP","Acer"
"386",26,"Cosumnes River Preserve","Tall Forest","7/24/2012","Liz, Hayawen, Melissa, Jackie, Mehrey",-121.41,38.27,"Plant","CRP04","ACNE","Acer negundo",19,"",8.2,9.2,"COSRP","Acer"
"387",26,"Cosumnes River Preserve","Tall Forest","7/24/2012","Liz, Hayawen, Melissa, Jackie, Mehrey",-121.41,38.27,"Plant","CRP04","ACNE","Acer negundo",20,"",7.5,9.2,"COSRP","Acer"
"388",26,"Cosumnes River Preserve","Tall Forest","7/24/2012","Liz, Hayawen, Melissa, Jackie, Mehrey",-121.41,38.27,"Plant","CRP04","ACNE","Acer negundo",21,"",14.2,9.2,"COSRP","Acer"
"389",26,"Cosumnes River Preserve","Tall Forest","7/24/2012","Liz, Hayawen, Melissa, Jackie, Mehrey",-121.41,38.27,"Plant","CRP04","ACNE","Acer negundo",22,"",17.3,9.2,"COSRP","Acer"
"390",26,"Cosumnes River Preserve","Tall Forest","7/24/2012","Liz, Hayawen, Melissa, Jackie, Mehrey",-121.41,38.27,"Plant","CRP04","ACNE","Acer negundo",23,"",10.3,9.2,"COSRP","Acer"
"391",26,"Cosumnes River Preserve","Tall Forest","7/24/2012","Liz, Hayawen, Melissa, Jackie, Mehrey",-121.41,38.27,"Plant","CRP04","ACNE","Acer negundo",24,"",16.1,9.2,"COSRP","Acer"
"392",26,"Cosumnes River Preserve","Tall Forest","7/24/2012","Liz, Hayawen, Melissa, Jackie, Mehrey",-121.41,38.27,"Plant","CRP04","ACNE","Acer negundo",25,"",6.4,9.2,"COSRP","Acer"
"393",26,"Cosumnes River Preserve","Tall Forest","7/24/2012","Liz, Hayawen, Melissa, Jackie, Mehrey",-121.41,38.27,"Plant","CRP04","ACNE","Acer negundo",26,"",8.2,9.2,"COSRP","Acer"
"445",27,"Cosumnes River Preserve","Not Recorded","7/24/2012","Liz, Hiyawen, Jackie, Melissa, Mehrey",-121.41,38.27,"Plant","CRP05","ACNE","Acer negundo",25,"",5.2,5.4,"COSRP","Acer"
"447",27,"Cosumnes River Preserve","Not Recorded","7/24/2012","Liz, Hiyawen, Jackie, Melissa, Mehrey",-121.41,38.27,"Plant","CRP05","ACNE","Acer negundo",27,"",5.9,4.2,"COSRP","Acer"
"448",27,"Cosumnes River Preserve","Not Recorded","7/24/2012","Liz, Hiyawen, Jackie, Melissa, Mehrey",-121.41,38.27,"Plant","CRP05","ACNE","Acer negundo",28,"",7,3.4,"COSRP","Acer"
"449",27,"Cosumnes River Preserve","Not Recorded","7/24/2012","Liz, Hiyawen, Jackie, Melissa, Mehrey",-121.41,38.27,"Plant","CRP05","ACNE","Acer negundo",29,"",7.5,3.7,"COSRP","Acer"
"450",27,"Cosumnes River Preserve","Not Recorded","7/24/2012","Liz, Hiyawen, Jackie, Melissa, Mehrey",-121.41,38.27,"Plant","CRP05","ACNE","Acer negundo",30,"",8.5,3.7,"COSRP","Acer"
"468",28,"Cosumnes River Preserve","Tall Forest","7/24/2012","William, Paul, Erik, Mariloli, Silvestre, Jasmine",-121.41,38.26,"Plant","CRP07","ACNE","Acer negundo",9,"",7.6,5.5,"COSRP","Acer"
"478",28,"Cosumnes River Preserve","Tall Forest","7/24/2012","William, Paul, Erik, Mariloli, Silvestre, Jasmine",-121.41,38.26,"Plant","CRP07","ACNE","Acer negundo",19,"",7.6,9,"COSRP","Acer"
"506",29,"Cosumnes River Preserve","Accidental Forest","7/25/2012","All",-121.4,38.26,"Plant","CRP09","ACNE","Acer negundo",28,"",6.9,4,"COSRP","Acer"
"529",29,"Cosumnes River Preserve","Accidental Forest","7/25/2012","All",-121.4,38.26,"Plant","CRP09","ACNE","Acer negundo",51,"",7.2,6,"COSRP","Acer"
"530",29,"Cosumnes River Preserve","Accidental Forest","7/25/2012","All",-121.4,38.26,"Plant","CRP09","ACNE","Acer negundo",52,"",7.4,6,"COSRP","Acer"
"558",29,"Cosumnes River Preserve","Accidental Forest","7/25/2012","All",-121.4,38.26,"Plant","CRP09","ACNE","Acer negundo",80,"",6.4,5.2,"COSRP","Acer"
"586",29,"Cosumnes River Preserve","Accidental Forest","7/25/2012","All",-121.4,38.26,"Plant","CRP09","ACNE","Acer negundo",108,"",6.3,6.5,"COSRP","Acer"
"688",34,"Cosumnes River Preserve","Castello Tract","7/26/2012","Hiyawen, Jackie, Mehrey, Jasmine, Silvestre, Loli",-121.34,38.36,"Plant","CRP17","ACNE","Acer negundo",16,"",14.3,7.7,"COSRP","Acer"
"689",34,"Cosumnes River Preserve","Castello Tract","7/26/2012","Hiyawen, Jackie, Mehrey, Jasmine, Silvestre, Loli",-121.34,38.36,"Plant","CRP17","ACNE","Acer negundo",17,"",10.9,5.2,"COSRP","Acer"
"918",46,"Cosumnes River Preserve","West of Intentional Forest","10/6/2012","M. Vaghti, J. Kattenhorn, L. Breed, E. Butler",-121.41,38.26,"Plant","CRP61","ACNE","Acer negundo",21,"",7.02,1.27,"COSRP","Acer"
"981",47,"Cosumnes River Preserve","West of Accidental Forest","10/6/2012","M. Vaghti, J. Kattenhorn, L. Breed, E. Butler",-121.4,38.27,"Plant","CRP60","ACNE","Acer negundo",21,"",7.02,1.27,"COSRP","Acer"
"1081",52,"Cosumnes River Preserve","West of Maccormik-Williamson","10/8/2012","M. Vaghti, J. Kattenhorn, L. Breed, M. Talso",-121.46,38.26,"Plant","CRP69","ACNE","Acer negundo",21,"",7.02,1.27,"COSRP","Acer"
"1128",54,"Cosumnes River Preserve","Cougar Wetlands","10/8/2012","M. Vaghti, L. Breed, M. Talso",-121.39,38.26,"Plant","CRP66","ACNE","Acer negundo",21,"",7.02,1.27,"COSRP","Acer"
"1194",57,"Cosumnes River Preserve","Maccormik-Williamson","9/12/2012","M. Vaghti, K. MacMillen",-121.46,38.26,"Plant","CRP30","ACNE","Acer negundo",12,"",20.2,6.7,"COSRP","Acer"
"1201",58,"Cosumnes River Preserve","Maccormik-Williamson","9/12/2012","M. Vaghti, K. MacMillen",-121.47,38.26,"Plant","CRP31","ACNE","Acer negundo",6,"",10.5,3.6,"COSRP","Acer"
"1223",59,"Cosumnes River Preserve","West of Tall Forest","9/12/2012","M. Vaghti, K. MacMillen",-121.42,38.26,"Plant","CRP32","ACNE","Acer negundo",21,"",7.02,1.27,"COSRP","Acer"
"1260",61,"Cosumnes River Preserve","Tall Forest West","9/12/2012","M. Vaghti, K. MacMillen",-121.41,38.26,"Plant","CRP34","ACNE","Acer negundo",21,"",7.02,1.27,"COSRP","Acer"
"1315",63,"Cosumnes River Preserve","Tall Forest","9/13/2012","M. Vaghti, K. MacMillen",-121.41,38.26,"Plant","CRP36","ACNE","Acer negundo",16,"",9.6,3.3,"COSRP","Acer"
"1317",63,"Cosumnes River Preserve","Tall Forest","9/13/2012","M. Vaghti, K. MacMillen",-121.41,38.26,"Plant","CRP36","ACNE","Acer negundo",18,"",11.5,5.3,"COSRP","Acer"
"1318",63,"Cosumnes River Preserve","Tall Forest","9/13/2012","M. Vaghti, K. MacMillen",-121.41,38.26,"Plant","CRP36","ACNE","Acer negundo",19,"",5.7,6.8,"COSRP","Acer"
"1333",64,"Cosumnes River Preserve","Tall Forest","10/20/2012","Jana, Ellen, Suzanne, Eric, Mehrey",-121.41,38.26,"Plant","CRP72","ACNE","Acer negundo",9,"",5.8,8,"COSRP","Acer"
"1341",65,"Cosumnes River Preserve","Tall Forest","10/20/2012","Jana, Ellen, Suzanne, Eric, Mehrey",-121.41,38.26,"Plant","CRP71","ACNE","Acer negundo",2,"",6.9,8.1,"COSRP","Acer"
"1355",65,"Cosumnes River Preserve","Tall Forest","10/20/2012","Jana, Ellen, Suzanne, Eric, Mehrey",-121.41,38.26,"Plant","CRP71","ACNE","Acer negundo",16,"",5.4,3,"COSRP","Acer"
"1356",65,"Cosumnes River Preserve","Tall Forest","10/20/2012","Jana, Ellen, Suzanne, Eric, Mehrey",-121.41,38.26,"Plant","CRP71","ACNE","Acer negundo",17,"",8.7,9.1,"COSRP","Acer"
"1357",65,"Cosumnes River Preserve","Tall Forest","10/20/2012","Jana, Ellen, Suzanne, Eric, Mehrey",-121.41,38.26,"Plant","CRP71","ACNE","Acer negundo",18,"",10.2,5.8,"COSRP","Acer"
"1362",66,"Cosumnes River Preserve","Tall Forest","10/20/2012","Eric, Ellen, Suzanne, Jana, Mehrey",-121.45,36.46,"Plant","CRP73","ACNE","Acer negundo",5,"",8.1,5.4,"COSRP","Acer"
"1367",66,"Cosumnes River Preserve","Tall Forest","10/20/2012","Eric, Ellen, Suzanne, Jana, Mehrey",-121.45,36.46,"Plant","CRP73","ACNE","Acer negundo",10,"",10.6,6.1,"COSRP","Acer"
"1370",67,"Cosumnes River Preserve","Tall Forest","10/20/2012","Channa, Patricia, Trisha, Paula, John",-121.41,38.26,"Plant","CRP74","ACNE","Acer negundo",1,"",7.6,5.3,"COSRP","Acer"
"1371",67,"Cosumnes River Preserve","Tall Forest","10/20/2012","Channa, Patricia, Trisha, Paula, John",-121.41,38.26,"Plant","CRP74","ACNE","Acer negundo",2,"",5,4.9,"COSRP","Acer"
"1372",67,"Cosumnes River Preserve","Tall Forest","10/20/2012","Channa, Patricia, Trisha, Paula, John",-121.41,38.26,"Plant","CRP74","ACNE","Acer negundo",3,"",27.4,10.5,"COSRP","Acer"
"1374",67,"Cosumnes River Preserve","Tall Forest","10/20/2012","Channa, Patricia, Trisha, Paula, John",-121.41,38.26,"Plant","CRP74","ACNE","Acer negundo",5,"",16.1,9,"COSRP","Acer"
"1375",67,"Cosumnes River Preserve","Tall Forest","10/20/2012","Channa, Patricia, Trisha, Paula, John",-121.41,38.26,"Plant","CRP74","ACNE","Acer negundo",6,"",7.8,4,"COSRP","Acer"
"1386",67,"Cosumnes River Preserve","Tall Forest","10/20/2012","Channa, Patricia, Trisha, Paula, John",-121.41,38.26,"Plant","CRP74","ACNE","Acer negundo",17,"",10.8,10.4,"COSRP","Acer"
"1508",69,"Cosumnes River Preserve","MacWorld Hort.","10/22/2012","Chana, Eric, Mehrey",-121.4,38.26,"Plant","CRP77","ACNE","Acer negundo",21,"",7.02,1.27,"COSRP","Acer"
"1549",71,"Cosumnes River Preserve","CRP Visitors Center","10/22/2012","Ellen, Patricia, Trisha, Paula, mehrey",-121.44,38.26,"Plant","CRP78","ACNE","Acer negundo",20,"",18.9,6.8,"COSRP","Acer"
"1591",72,"Cosumnes River Preserve","Tall Forest","9/13/2012","M. Vaghti, K. MacMillen",-121.41,38.26,"Plant","CRP37","ACNE","Acer negundo",1,"",6.5,3.5,"COSRP","Acer"
"1592",72,"Cosumnes River Preserve","Tall Forest","9/13/2012","M. Vaghti, K. MacMillen",-121.41,38.26,"Plant","CRP37","ACNE","Acer negundo",2,"",6.3,3.7,"COSRP","Acer"
"1595",72,"Cosumnes River Preserve","Tall Forest","9/13/2012","M. Vaghti, K. MacMillen",-121.41,38.26,"Plant","CRP37","ACNE","Acer negundo",5,"",6.8,7.7,"COSRP","Acer"
"1596",72,"Cosumnes River Preserve","Tall Forest","9/13/2012","M. Vaghti, K. MacMillen",-121.41,38.26,"Plant","CRP37","ACNE","Acer negundo",6,"",5.5,7.2,"COSRP","Acer"
"1597",72,"Cosumnes River Preserve","Tall Forest","9/13/2012","M. Vaghti, K. MacMillen",-121.41,38.26,"Plant","CRP37","ACNE","Acer negundo",7,"",8,6.7,"COSRP","Acer"
"1598",72,"Cosumnes River Preserve","Tall Forest","9/13/2012","M. Vaghti, K. MacMillen",-121.41,38.26,"Plant","CRP37","ACNE","Acer negundo",8,"",5.2,6.6,"COSRP","Acer"
"1599",72,"Cosumnes River Preserve","Tall Forest","9/13/2012","M. Vaghti, K. MacMillen",-121.41,38.26,"Plant","CRP37","ACNE","Acer negundo",9,"",6.6,7,"COSRP","Acer"
"1600",72,"Cosumnes River Preserve","Tall Forest","9/13/2012","M. Vaghti, K. MacMillen",-121.41,38.26,"Plant","CRP37","ACNE","Acer negundo",10,"",8.5,7.3,"COSRP","Acer"
"1601",72,"Cosumnes River Preserve","Tall Forest","9/13/2012","M. Vaghti, K. MacMillen",-121.41,38.26,"Plant","CRP37","ACNE","Acer negundo",11,"",6.9,8.4,"COSRP","Acer"
"1602",72,"Cosumnes River Preserve","Tall Forest","9/13/2012","M. Vaghti, K. MacMillen",-121.41,38.26,"Plant","CRP37","ACNE","Acer negundo",12,"",6.6,9.3,"COSRP","Acer"
"1603",72,"Cosumnes River Preserve","Tall Forest","9/13/2012","M. Vaghti, K. MacMillen",-121.41,38.26,"Plant","CRP37","ACNE","Acer negundo",13,"",9.6,8.3,"COSRP","Acer"
"1604",72,"Cosumnes River Preserve","Tall Forest","9/13/2012","M. Vaghti, K. MacMillen",-121.41,38.26,"Plant","CRP37","ACNE","Acer negundo",14,"",6.4,7.1,"COSRP","Acer"
"1605",72,"Cosumnes River Preserve","Tall Forest","9/13/2012","M. Vaghti, K. MacMillen",-121.41,38.26,"Plant","CRP37","ACNE","Acer negundo",15,"",6.1,6.2,"COSRP","Acer"
"1606",72,"Cosumnes River Preserve","Tall Forest","9/13/2012","M. Vaghti, K. MacMillen",-121.41,38.26,"Plant","CRP37","ACNE","Acer negundo",16,"",6.3,3.7,"COSRP","Acer"
"1613",72,"Cosumnes River Preserve","Tall Forest","9/13/2012","M. Vaghti, K. MacMillen",-121.41,38.26,"Plant","CRP37","ACNE","Acer negundo",23,"",5.1,8.1,"COSRP","Acer"
"1616",72,"Cosumnes River Preserve","Tall Forest","9/13/2012","M. Vaghti, K. MacMillen",-121.41,38.26,"Plant","CRP37","ACNE","Acer negundo",26,"",5.5,6.2,"COSRP","Acer"
"1617",72,"Cosumnes River Preserve","Tall Forest","9/13/2012","M. Vaghti, K. MacMillen",-121.41,38.26,"Plant","CRP37","ACNE","Acer negundo",27,"",5,6.7,"COSRP","Acer"
"1618",72,"Cosumnes River Preserve","Tall Forest","9/13/2012","M. Vaghti, K. MacMillen",-121.41,38.26,"Plant","CRP37","ACNE","Acer negundo",28,"",6,6,"COSRP","Acer"
"1619",72,"Cosumnes River Preserve","Tall Forest","9/13/2012","M. Vaghti, K. MacMillen",-121.41,38.26,"Plant","CRP37","ACNE","Acer negundo",29,"",7.1,6.2,"COSRP","Acer"
"1620",72,"Cosumnes River Preserve","Tall Forest","9/13/2012","M. Vaghti, K. MacMillen",-121.41,38.26,"Plant","CRP37","ACNE","Acer negundo",30,"",7.9,5.7,"COSRP","Acer"
"1621",72,"Cosumnes River Preserve","Tall Forest","9/13/2012","M. Vaghti, K. MacMillen",-121.41,38.26,"Plant","CRP37","ACNE","Acer negundo",31,"",7.1,4,"COSRP","Acer"
"1622",72,"Cosumnes River Preserve","Tall Forest","9/13/2012","M. Vaghti, K. MacMillen",-121.41,38.26,"Plant","CRP37","ACNE","Acer negundo",32,"",8.5,5.1,"COSRP","Acer"
"1625",72,"Cosumnes River Preserve","Tall Forest","9/13/2012","M. Vaghti, K. MacMillen",-121.41,38.26,"Plant","CRP37","ACNE","Acer negundo",35,"",6.3,4.2,"COSRP","Acer"
"1626",72,"Cosumnes River Preserve","Tall Forest","9/13/2012","M. Vaghti, K. MacMillen",-121.41,38.26,"Plant","CRP37","ACNE","Acer negundo",36,"",5.2,5.1,"COSRP","Acer"
"1727",78,"Cosumnes River Preserve","Shaw Forest","9/14/2012","M. Vaghti, K. MacMillen",-121.37,38.32,"Plant","CRP43","ACNE","Acer negundo",8,"",10.9,8.6,"COSRP","Acer"
"1728",78,"Cosumnes River Preserve","Shaw Forest","9/14/2012","M. Vaghti, K. MacMillen",-121.37,38.32,"Plant","CRP43","ACNE","Acer negundo",9,"",10.1,5.1,"COSRP","Acer"
"1729",78,"Cosumnes River Preserve","Shaw Forest","9/14/2012","M. Vaghti, K. MacMillen",-121.37,38.32,"Plant","CRP43","ACNE","Acer negundo",10,"",22.4,13.3,"COSRP","Acer"
"1731",78,"Cosumnes River Preserve","Shaw Forest","9/14/2012","M. Vaghti, K. MacMillen",-121.37,38.32,"Plant","CRP43","ACNE","Acer negundo",12,"",13.2,8.2,"COSRP","Acer"
"1732",78,"Cosumnes River Preserve","Shaw Forest","9/14/2012","M. Vaghti, K. MacMillen",-121.37,38.32,"Plant","CRP43","ACNE","Acer negundo",13,"",6.1,4.8,"COSRP","Acer"
"1742",79,"Cosumnes River Preserve","Channel at Twin Cities Rd","9/25/2012","M. Vaghti, M. Read",-121.38,38.29,"Plant","CRP45","ACNE","Acer negundo",4,"",18.2,8.6,"COSRP","Acer"
"1743",79,"Cosumnes River Preserve","Channel at Twin Cities Rd","9/25/2012","M. Vaghti, M. Read",-121.38,38.29,"Plant","CRP45","ACNE","Acer negundo",5,"",7.5,3.1,"COSRP","Acer"
"1745",79,"Cosumnes River Preserve","Channel at Twin Cities Rd","9/25/2012","M. Vaghti, M. Read",-121.38,38.29,"Plant","CRP45","ACNE","Acer negundo",7,"",5.2,4.1,"COSRP","Acer"
"1747",79,"Cosumnes River Preserve","Channel at Twin Cities Rd","9/25/2012","M. Vaghti, M. Read",-121.38,38.29,"Plant","CRP45","ACNE","Acer negundo",9,"",7,4,"COSRP","Acer"
"1755",80,"Cosumnes River Preserve","Denier Channel","9/25/2012","M. Vaghti, M. Read",-121.38,38.3,"Plant","CRP46","ACNE","Acer negundo",2,"",9.9,5,"COSRP","Acer"
"1756",80,"Cosumnes River Preserve","Denier Channel","9/25/2012","M. Vaghti, M. Read",-121.38,38.3,"Plant","CRP46","ACNE","Acer negundo",3,"",33.8,17,"COSRP","Acer"
"1757",80,"Cosumnes River Preserve","Denier Channel","9/25/2012","M. Vaghti, M. Read",-121.38,38.3,"Plant","CRP46","ACNE","Acer negundo",4,"",17,7.7,"COSRP","Acer"
"1759",80,"Cosumnes River Preserve","Denier Channel","9/25/2012","M. Vaghti, M. Read",-121.38,38.3,"Plant","CRP46","ACNE","Acer negundo",6,"",20,8.9,"COSRP","Acer"
"1762",80,"Cosumnes River Preserve","Denier Channel","9/25/2012","M. Vaghti, M. Read",-121.38,38.3,"Plant","CRP46","ACNE","Acer negundo",9,"",12.2,8.7,"COSRP","Acer"
"1764",80,"Cosumnes River Preserve","Denier Channel","9/25/2012","M. Vaghti, M. Read",-121.38,38.3,"Plant","CRP46","ACNE","Acer negundo",11,"",12.9,9.5,"COSRP","Acer"
